,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
0,27,female,2,own,little,little,3123,24,car,bad
1,42,male,2,free,little,little,5493,36,car,good
2,49,male,2,own,moderate,rich,1126,9,radio/TV,good
3,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad
4,24,female,2,rent,little,little,1207,24,car,bad
5,27,male,1,own,NA,NA,1309,10,car,bad
6,36,male,2,own,quite rich,rich,2360,15,car,good
7,34,male,3,own,moderate,moderate,6850,15,car,bad
8,28,male,2,own,little,NA,1413,24,radio/TV,good
9,45,male,3,own,moderate,NA,8588,39,car,good
10,26,male,2,own,little,little,759,12,car,bad
11,32,male,3,free,little,NA,4686,36,car,good
12,26,male,2,rent,little,rich,2687,15,business,good
13,20,male,2,rent,little,moderate,585,12,radio/TV,good
14,54,male,2,own,NA,NA,2255,24,car,good
15,37,female,2,own,little,little,609,6,car,good
16,40,male,1,own,little,little,1361,6,car,good
17,23,female,2,rent,little,NA,7127,36,furniture/equipment,bad
18,43,male,2,own,moderate,little,1203,6,car,good
19,36,male,2,free,NA,NA,700,6,radio/TV,good
20,44,male,2,free,little,NA,5507,24,repairs,good
21,24,female,2,own,little,little,3190,18,radio/TV,bad
22,53,male,2,free,little,little,7119,48,furniture/equipment,bad
23,23,female,2,own,moderate,NA,3488,24,car,good
24,26,female,1,own,little,moderate,1113,18,radio/TV,good
25,30,male,2,own,little,moderate,7966,26,car,good
26,31,female,2,own,moderate,NA,1532,15,education,good
27,42,male,1,own,little,NA,1503,4,radio/TV,good
28,31,male,2,rent,little,little,2302,36,radio/TV,bad
29,41,male,1,own,little,little,662,6,car,good
30,32,male,2,own,little,moderate,2273,36,education,good
31,28,female,2,rent,moderate,moderate,2631,15,car,bad
32,41,male,2,rent,little,NA,1503,12,car,good
33,26,male,2,own,moderate,NA,1311,24,radio/TV,good
34,25,male,2,own,NA,NA,3105,24,radio/TV,good
35,33,male,2,rent,little,rich,2319,21,education,bad
36,75,female,3,own,NA,little,1374,6,car,good
37,37,female,2,own,little,moderate,3612,18,furniture/equipment,good
38,42,male,3,free,little,little,7763,48,car,bad
39,45,female,1,own,little,rich,3049,18,furniture/equipment,good
40,23,male,2,rent,little,moderate,1534,12,radio/TV,bad
41,60,male,2,free,little,NA,2032,24,car,good
42,31,male,2,own,NA,little,6350,30,furniture/equipment,bad
43,34,male,1,own,little,rich,2864,18,furniture/equipment,bad
44,61,male,1,own,little,NA,1255,12,car,good
45,43,male,2,free,little,little,1333,24,car,bad
46,37,female,2,own,little,NA,2022,24,car,good
47,32,male,2,own,little,NA,1552,24,radio/TV,good
48,24,female,1,own,little,little,626,12,radio/TV,bad
